date,campaign,active,spend,impressions,reach,clicks
2025-01-10,brand_always_on,True,423.31,33049,15346,412
2025-01-10,spring_promo,False,0.0,0,0,0
2025-01-10,lookalike_conversions,True,100.65,6134,4769,137
2025-01-10,video_product_launch,False,0.0,0,0,0
2025-01-10,flash_sale_burst,False,0.0,0,0,0
2025-01-10,niche_interest,True,45.88,2538,1958,76
2025-01-10,broad_prospecting,False,0.0,0,0,0
2025-01-11,brand_always_on,True,275.67,22988,12905,270
2025-01-11,spring_promo,True,20.47,2599,2309,167
2025-01-11,lookalike_conversions,True,120.13,6608,5010,126
2025-01-11,video_product_launch,False,0.0,0,0,0
2025-01-11,flash_sale_burst,False,0.0,0,0,0
2025-01-11,niche_interest,True,41.04,2155,1768,34
2025-01-11,broad_prospecting,False,0.0,0,0,0
2025-01-12,brand_always_on,True,405.27,31690,15132,423
2025-01-12,spring_promo,True,38.65,4572,3709,300
2025-01-12,lookalike_conversions,True,102.86,5916,4633,132
2025-01-12,video_product_launch,False,0.0,0,0,0
2025-01-12,flash_sale_burst,False,0.0,0,0,0
2025-01-12,niche_interest,True,49.92,2918,2171,65
2025-01-12,broad_prospecting,False,0.0,0,0,0
2025-01-13,brand_always_on,True,435.09,34003,15627,403
2025-01-13,spring_promo,True,57.92,6026,4588,342
2025-01-13,lookalike_conversions,True,177.61,10260,6817,196
2025-01-13,video_product_launch,False,0.0,0,0,0
2025-01-13,flash_sale_burst,False,0.0,0,0,0
2025-01-13,niche_interest,True,60.68,3419,2441,71
2025-01-13,broad_prospecting,False,0.0,0,0,0
2025-01-14,brand_always_on,True,281.11,21383,12407,305
2025-01-14,spring_promo,True,94.22,10819,6846,535
2025-01-14,lookalike_conversions,True,188.49,11809,7488,265
2025-01-14,video_product_launch,False,0.0,0,0,0
2025-01-14,flash_sale_burst,False,0.0,0,0,0
2025-01-14,niche_interest,True,88.68,4995,3134,122
2025-01-14,broad_prospecting,False,0.0,0,0,0
2025-01-15,brand_always_on,True,384.32,29363,14575,401
2025-01-15,spring_promo,True,65.45,7025,5122,281
2025-01-15,lookalike_conversions,True,170.91,9454,6374,196
2025-01-15,video_product_launch,False,0.0,0,0,0
2025-01-15,flash_sale_burst,False,0.0,0,0,0
2025-01-15,niche_interest,True,78.36,3807,2635,82
2025-01-15,broad_prospecting,False,0.0,0,0,0
2025-01-16,brand_always_on,True,297.28,23919,13233,298
2025-01-16,spring_promo,True,96.45,9350,6321,333
2025-01-16,lookalike_conversions,True,173.67,9616,6589,187
2025-01-16,video_product_launch,False,0.0,0,0,0
2025-01-16,flash_sale_burst,False,0.0,0,0,0
2025-01-16,niche_interest,True,99.3,5091,3202,110
2025-01-16,broad_prospecting,False,0.0,0,0,0
2025-01-17,brand_always_on,True,282.93,22618,12829,311
2025-01-17,spring_promo,True,108.44,10051,6559,313
2025-01-17,lookalike_conversions,True,133.27,7836,5638,180
2025-01-17,video_product_launch,False,0.0,0,0,0
2025-01-17,flash_sale_burst,False,0.0,0,0,0
2025-01-17,niche_interest,True,80.49,4358,2897,109
2025-01-17,broad_prospecting,False,0.0,0,0,0
2025-01-18,brand_always_on,True,170.18,13806,9589,195
2025-01-18,spring_promo,True,134.31,12502,7547,392
2025-01-18,lookalike_conversions,True,190.0,11434,7338,251
2025-01-18,video_product_launch,False,0.0,0,0,0
2025-01-18,flash_sale_burst,False,0.0,0,0,0
2025-01-18,niche_interest,True,68.62,3612,2549,69
2025-01-18,broad_prospecting,False,0.0,0,0,0
2025-01-19,brand_always_on,True,146.55,11453,8351,158
2025-01-19,spring_promo,True,101.08,7917,5645,270
2025-01-19,lookalike_conversions,True,142.6,7982,5779,154
2025-01-19,video_product_launch,False,0.0,0,0,0
2025-01-19,flash_sale_burst,False,0.0,0,0,0
2025-01-19,niche_interest,True,49.64,2787,2096,50
2025-01-19,broad_prospecting,False,0.0,0,0,0
2025-01-20,brand_always_on,True,151.33,12285,8756,167
2025-01-20,spring_promo,True,195.47,16835,8829,465
2025-01-20,lookalike_conversions,True,149.78,8737,6142,167
2025-01-20,video_product_launch,False,0.0,0,0,0
2025-01-20,flash_sale_burst,False,0.0,0,0,0
2025-01-20,niche_interest,True,94.35,5026,3130,114
2025-01-20,broad_prospecting,False,0.0,0,0,0
2025-01-21,brand_always_on,True,194.94,15768,10341,242
2025-01-21,spring_promo,True,182.35,14568,8170,364
2025-01-21,lookalike_conversions,True,198.41,11491,7358,212
2025-01-21,video_product_launch,False,0.0,0,0,0
2025-01-21,flash_sale_burst,False,0.0,0,0,0
2025-01-21,niche_interest,True,84.91,4546,2958,90
2025-01-21,broad_prospecting,False,0.0,0,0,0
2025-01-22,brand_always_on,True,185.17,15015,10046,228
2025-01-22,spring_promo,True,246.81,17935,9200,442
2025-01-22,lookalike_conversions,True,163.47,9653,6578,196
2025-01-22,video_product_launch,False,0.0,0,0,0
2025-01-22,flash_sale_burst,False,0.0,0,0,0
2025-01-22,niche_interest,True,89.69,5528,3337,113
2025-01-22,broad_prospecting,False,0.0,0,0,0
2025-01-23,brand_always_on,True,130.7,10149,7623,142
2025-01-23,spring_promo,True,206.08,14562,8227,362
2025-01-23,lookalike_conversions,True,174.88,9545,6490,194
2025-01-23,video_product_launch,False,0.0,0,0,0
2025-01-23,flash_sale_burst,False,0.0,0,0,0
2025-01-23,niche_interest,True,80.74,4471,2964,87
2025-01-23,broad_prospecting,False,0.0,0,0,0
2025-01-24,brand_always_on,True,180.93,15085,10054,199
2025-01-24,spring_promo,True,172.76,12061,7453,251
2025-01-24,lookalike_conversions,True,130.77,7100,5299,144
2025-01-24,video_product_launch,False,0.0,0,0,0
2025-01-24,flash_sale_burst,False,0.0,0,0,0
2025-01-24,niche_interest,True,79.68,4099,2776,72
2025-01-24,broad_prospecting,False,0.0,0,0,0
2025-01-25,brand_always_on,True,149.6,12443,8852,204
2025-01-25,spring_promo,True,163.59,12654,7717,275
2025-01-25,lookalike_conversions,True,104.9,5555,4373,113
2025-01-25,video_product_launch,False,0.0,0,0,0
2025-01-25,flash_sale_burst,False,0.0,0,0,0
2025-01-25,niche_interest,True,66.57,3638,2551,70
2025-01-25,broad_prospecting,False,0.0,0,0,0
2025-01-26,brand_always_on,True,233.26,19718,11763,295
2025-01-26,spring_promo,True,216.82,16353,8887,327
2025-01-26,lookalike_conversions,True,72.29,4330,3577,83
2025-01-26,video_product_launch,True,23.83,3701,3034,162
2025-01-26,flash_sale_burst,False,0.0,0,0,0
2025-01-26,niche_interest,True,52.06,3004,2241,62
2025-01-26,broad_prospecting,False,0.0,0,0,0
2025-01-27,brand_always_on,True,175.27,14004,9483,205
2025-01-27,spring_promo,True,312.06,23517,10423,524
2025-01-27,lookalike_conversions,True,80.18,4992,4062,101
2025-01-27,video_product_launch,True,51.98,7694,5146,273
2025-01-27,flash_sale_burst,False,0.0,0,0,0
2025-01-27,niche_interest,True,52.18,2769,2100,62
2025-01-27,broad_prospecting,False,0.0,0,0,0
2025-01-28,brand_always_on,True,282.42,23780,13223,324
2025-01-28,spring_promo,True,264.73,18742,9475,334
2025-01-28,lookalike_conversions,True,87.77,5079,4089,115
2025-01-28,video_product_launch,True,83.64,11026,6372,331
2025-01-28,flash_sale_burst,False,0.0,0,0,0
2025-01-28,niche_interest,True,41.57,2101,1725,45
2025-01-28,broad_prospecting,False,0.0,0,0,0
2025-01-29,brand_always_on,True,317.74,27967,14137,397
2025-01-29,spring_promo,True,221.41,14966,8480,293
2025-01-29,lookalike_conversions,True,79.37,4948,4022,87
2025-01-29,video_product_launch,True,184.21,23002,8920,522
2025-01-29,flash_sale_burst,False,0.0,0,0,0
2025-01-29,niche_interest,True,46.77,2578,1967,55
2025-01-29,broad_prospecting,False,0.0,0,0,0
2025-01-30,brand_always_on,True,371.2,29003,14493,408
2025-01-30,spring_promo,True,253.22,17227,9142,346
2025-01-30,lookalike_conversions,True,70.36,4222,3494,95
2025-01-30,video_product_launch,True,200.31,23511,8879,438
2025-01-30,flash_sale_burst,False,0.0,0,0,0
2025-01-30,niche_interest,True,31.13,1550,1326,28
2025-01-30,broad_prospecting,False,0.0,0,0,0
2025-01-31,brand_always_on,True,350.86,28477,14425,376
2025-01-31,spring_promo,True,210.47,13723,8063,249
2025-01-31,lookalike_conversions,True,65.58,4140,3452,83
2025-01-31,video_product_launch,True,182.34,21523,8690,331
2025-01-31,flash_sale_burst,False,0.0,0,0,0
2025-01-31,niche_interest,True,30.07,1708,1435,34
2025-01-31,broad_prospecting,False,0.0,0,0,0
2025-02-01,brand_always_on,True,312.46,25234,13495,365
2025-02-01,spring_promo,True,203.54,13891,8114,230
2025-02-01,lookalike_conversions,True,65.98,3521,3025,78
2025-02-01,video_product_launch,True,226.02,22382,8887,279
2025-02-01,flash_sale_burst,False,0.0,0,0,0
2025-02-01,niche_interest,True,25.3,1294,1128,32
2025-02-01,broad_prospecting,False,0.0,0,0,0
2025-02-02,brand_always_on,True,371.01,27709,14096,378
2025-02-02,spring_promo,True,119.16,7664,5577,144
2025-02-02,lookalike_conversions,True,54.74,3491,2994,58
2025-02-02,video_product_launch,True,260.35,26133,9347,308
2025-02-02,flash_sale_burst,False,0.0,0,0,0
2025-02-02,niche_interest,True,24.55,1334,1146,20
2025-02-02,broad_prospecting,False,0.0,0,0,0
2025-02-03,brand_always_on,True,408.23,33696,15500,453
2025-02-03,spring_promo,True,170.22,11578,7413,189
2025-02-03,lookalike_conversions,True,63.18,3756,3189,73
2025-02-03,video_product_launch,True,235.85,22732,9009,223
2025-02-03,flash_sale_burst,False,0.0,0,0,0
2025-02-03,niche_interest,True,27.23,1475,1262,37
2025-02-03,broad_prospecting,False,0.0,0,0,0
2025-02-04,brand_always_on,True,560.15,43950,17222,575
2025-02-04,spring_promo,True,193.42,13665,7973,248
2025-02-04,lookalike_conversions,True,87.36,5338,4288,122
2025-02-04,video_product_launch,True,231.32,22192,8894,195
2025-02-04,flash_sale_burst,False,0.0,0,0,0
2025-02-04,niche_interest,True,26.72,1372,1208,29
2025-02-04,broad_prospecting,False,0.0,0,0,0
2025-02-05,brand_always_on,True,669.54,50195,17748,704
2025-02-05,spring_promo,True,125.57,8189,5835,163
2025-02-05,lookalike_conversions,True,69.34,3766,3223,85
2025-02-05,video_product_launch,True,212.02,17993,8150,150
2025-02-05,flash_sale_burst,False,0.0,0,0,0
2025-02-05,niche_interest,True,33.6,1832,1483,46
2025-02-05,broad_prospecting,False,0.0,0,0,0
2025-02-06,brand_always_on,True,440.55,36925,16156,470
2025-02-06,spring_promo,True,127.0,8408,5965,182
2025-02-06,lookalike_conversions,True,93.05,5215,4161,110
2025-02-06,video_product_launch,True,225.26,19587,8533,181
2025-02-06,flash_sale_burst,False,0.0,0,0,0
2025-02-06,niche_interest,True,33.62,1925,1567,37
2025-02-06,broad_prospecting,False,0.0,0,0,0
2025-02-07,brand_always_on,True,449.17,32778,15245,422
2025-02-07,spring_promo,True,78.82,5375,4277,119
2025-02-07,lookalike_conversions,True,90.34,4876,3952,111
2025-02-07,video_product_launch,True,286.79,24988,9318,237
2025-02-07,flash_sale_burst,False,0.0,0,0,0
2025-02-07,niche_interest,True,44.38,2642,2034,61
2025-02-07,broad_prospecting,False,0.0,0,0,0
2025-02-08,brand_always_on,True,439.93,34146,15538,421
2025-02-08,spring_promo,True,111.71,7761,5605,157
2025-02-08,lookalike_conversions,True,106.27,6693,5070,172
2025-02-08,video_product_launch,True,254.88,22325,8981,165
2025-02-08,flash_sale_burst,False,0.0,0,0,0
2025-02-08,niche_interest,True,34.69,2054,1651,56
2025-02-08,broad_prospecting,False,0.0,0,0,0
2025-02-09,brand_always_on,True,365.6,31569,14905,385
2025-02-09,spring_promo,True,78.23,5718,4472,141
2025-02-09,lookalike_conversions,True,100.68,6126,4794,138
2025-02-09,video_product_launch,True,132.27,11505,6676,78
2025-02-09,flash_sale_burst,False,0.0,0,0,0
2025-02-09,niche_interest,True,46.42,2526,1967,47
2025-02-09,broad_prospecting,False,0.0,0,0,0
2025-02-10,brand_always_on,True,514.59,37069,16112,459
2025-02-10,spring_promo,True,89.91,6327,4816,163
2025-02-10,lookalike_conversions,True,182.38,11075,7095,225
2025-02-10,video_product_launch,True,211.82,17202,8020,145
2025-02-10,flash_sale_burst,False,0.0,0,0,0
2025-02-10,niche_interest,True,67.57,3483,2471,80
2025-02-10,broad_prospecting,False,0.0,0,0,0
2025-02-11,brand_always_on,True,278.07,22465,12780,300
2025-02-11,spring_promo,True,101.87,7052,5220,155
2025-02-11,lookalike_conversions,True,168.02,9224,6366,204
2025-02-11,video_product_launch,True,207.33,18796,8478,166
2025-02-11,flash_sale_burst,False,0.0,0,0,0
2025-02-11,niche_interest,True,87.94,4778,3061,89
2025-02-11,broad_prospecting,False,0.0,0,0,0
2025-02-12,brand_always_on,True,305.21,23056,12948,313
2025-02-12,spring_promo,True,85.12,5574,4433,137
2025-02-12,lookalike_conversions,True,189.28,12162,7646,225
2025-02-12,video_product_launch,True,212.75,21842,8969,165
2025-02-12,flash_sale_burst,False,0.0,0,0,0
2025-02-12,niche_interest,True,104.13,5148,3210,106
2025-02-12,broad_prospecting,False,0.0,0,0,0
2025-02-13,brand_always_on,True,275.57,20972,12316,257
2025-02-13,spring_promo,True,106.2,7187,5324,149
2025-02-13,lookalike_conversions,True,163.39,9603,6444,216
2025-02-13,video_product_launch,True,203.46,18909,8499,136
2025-02-13,flash_sale_burst,False,0.0,0,0,0
2025-02-13,niche_interest,True,74.64,4103,2768,98
2025-02-13,broad_prospecting,False,0.0,0,0,0
2025-02-14,brand_always_on,True,222.85,18366,11289,222
2025-02-14,spring_promo,True,99.37,6745,5036,159
2025-02-14,lookalike_conversions,True,233.2,12875,7805,231
2025-02-14,video_product_launch,True,140.81,12751,7107,96
2025-02-14,flash_sale_burst,False,0.0,0,0,0
2025-02-14,niche_interest,True,64.52,3344,2411,76
2025-02-14,broad_prospecting,False,0.0,0,0,0
2025-02-15,brand_always_on,True,206.88,16641,10763,205
2025-02-15,spring_promo,True,105.55,6987,5234,153
2025-02-15,lookalike_conversions,True,141.95,7740,5677,172
2025-02-15,video_product_launch,True,123.39,9909,6151,78
2025-02-15,flash_sale_burst,True,38.88,4320,3514,376
2025-02-15,niche_interest,True,87.48,4618,2961,91
2025-02-15,broad_prospecting,False,0.0,0,0,0
2025-02-16,brand_always_on,True,148.83,11415,8287,157
2025-02-16,spring_promo,True,111.85,7864,5644,180
2025-02-16,lookalike_conversions,True,187.16,11055,7243,204
2025-02-16,video_product_launch,True,115.99,10048,6146,66
2025-02-16,flash_sale_burst,True,100.87,11310,6751,713
2025-02-16,niche_interest,True,56.57,3066,2259,66
2025-02-16,broad_prospecting,False,0.0,0,0,0
2025-02-17,brand_always_on,True,220.65,17532,11080,250
2025-02-17,spring_promo,True,205.08,14743,8456,328
2025-02-17,lookalike_conversions,True,177.4,10629,7023,216
2025-02-17,video_product_launch,True,110.99,9178,5793,76
2025-02-17,flash_sale_burst,True,228.35,22722,9315,1233
2025-02-17,niche_interest,True,102.82,5655,3341,109
2025-02-17,broad_prospecting,False,0.0,0,0,0
2025-02-18,brand_always_on,True,181.38,15187,10164,208
2025-02-18,spring_promo,True,234.89,15790,8792,311
2025-02-18,lookalike_conversions,True,216.3,12634,7864,241
2025-02-18,video_product_launch,True,100.93,8781,5684,78
2025-02-18,flash_sale_burst,True,290.06,28879,10213,1175
2025-02-18,niche_interest,True,104.83,5652,3426,106
2025-02-18,broad_prospecting,False,0.0,0,0,0
2025-02-19,brand_always_on,True,238.61,18579,11448,247
2025-02-19,spring_promo,True,230.35,17267,9111,348
2025-02-19,lookalike_conversions,True,177.08,10858,7059,218
2025-02-19,video_product_launch,True,97.08,8221,5459,70
2025-02-19,flash_sale_burst,True,324.88,26943,9938,940
2025-02-19,niche_interest,True,98.44,5682,3391,105
2025-02-19,broad_prospecting,False,0.0,0,0,0
2025-02-20,brand_always_on,True,179.8,14708,9945,196
2025-02-20,spring_promo,True,194.08,13408,8025,266
2025-02-20,lookalike_conversions,True,187.69,10191,6856,219
2025-02-20,video_product_launch,True,91.53,7912,5288,83
2025-02-20,flash_sale_burst,True,321.71,22656,9279,657
2025-02-20,niche_interest,True,75.98,4082,2758,85
2025-02-20,broad_prospecting,False,0.0,0,0,0
2025-02-21,brand_always_on,True,215.33,16339,10548,230
2025-02-21,spring_promo,True,173.67,10923,7187,225
2025-02-21,lookalike_conversions,True,156.92,8711,6115,184
2025-02-21,video_product_launch,True,90.84,7619,5142,76
2025-02-21,flash_sale_burst,True,367.89,25378,9800,642
2025-02-21,niche_interest,True,57.95,2820,2149,67
2025-02-21,broad_prospecting,False,0.0,0,0,0
2025-02-22,brand_always_on,True,162.71,13353,9199,208
2025-02-22,spring_promo,True,185.55,13064,7890,260
2025-02-22,lookalike_conversions,True,98.19,5644,4390,96
2025-02-22,video_product_launch,True,68.24,5738,4248,49
2025-02-22,flash_sale_burst,True,402.8,26496,9891,629
2025-02-22,niche_interest,True,71.43,3676,2566,74
2025-02-22,broad_prospecting,False,0.0,0,0,0
2025-02-23,brand_always_on,True,190.55,16176,10498,225
2025-02-23,spring_promo,True,191.12,12905,7737,264
2025-02-23,lookalike_conversions,True,73.56,4301,3540,90
2025-02-23,video_product_launch,True,94.01,8308,5502,94
2025-02-23,flash_sale_burst,True,413.13,29015,10172,648
2025-02-23,niche_interest,True,50.51,2580,1982,57
2025-02-23,broad_prospecting,False,0.0,0,0,0
2025-02-24,brand_always_on,True,284.17,22737,12872,310
2025-02-24,spring_promo,True,204.67,14006,8239,276
2025-02-24,lookalike_conversions,True,90.0,5233,4176,97
2025-02-24,video_product_launch,True,105.12,8754,5742,81
2025-02-24,flash_sale_burst,True,376.79,23828,9648,480
2025-02-24,niche_interest,True,46.84,2251,1777,52
2025-02-24,broad_prospecting,False,0.0,0,0,0
2025-02-25,brand_always_on,True,361.53,26919,13911,408
2025-02-25,spring_promo,True,276.47,18430,9437,371
2025-02-25,lookalike_conversions,True,68.61,4006,3386,70
2025-02-25,video_product_launch,True,150.98,14472,7426,150
2025-02-25,flash_sale_burst,True,631.0,41245,11227,769
2025-02-25,niche_interest,True,45.1,2342,1859,52
2025-02-25,broad_prospecting,False,0.0,0,0,0
2025-02-26,brand_always_on,True,437.43,39483,16428,563
2025-02-26,spring_promo,True,237.85,15518,8736,285
2025-02-26,lookalike_conversions,True,93.0,5522,4358,120
2025-02-26,video_product_launch,True,146.28,12356,6959,134
2025-02-26,flash_sale_burst,True,499.59,31895,10624,566
2025-02-26,niche_interest,True,40.84,2253,1812,39
2025-02-26,broad_prospecting,False,0.0,0,0,0
2025-02-27,brand_always_on,True,400.68,32722,15338,475
2025-02-27,spring_promo,True,198.57,13884,8194,267
2025-02-27,lookalike_conversions,True,53.88,3062,2682,66
2025-02-27,video_product_launch,True,171.84,16119,7961,172
2025-02-27,flash_sale_burst,True,493.2,31562,10608,552
2025-02-27,niche_interest,True,29.62,1596,1353,31
2025-02-27,broad_prospecting,False,0.0,0,0,0
2025-02-28,brand_always_on,True,373.03,30676,14785,402
2025-02-28,spring_promo,True,176.83,10899,7058,181
2025-02-28,lookalike_conversions,True,65.15,3564,3073,68
2025-02-28,video_product_launch,True,173.59,13816,7390,129
2025-02-28,flash_sale_burst,True,417.88,26389,10066,410
2025-02-28,niche_interest,True,36.95,1876,1529,40
2025-02-28,broad_prospecting,False,0.0,0,0,0
2025-03-01,brand_always_on,True,408.13,32977,15298,428
2025-03-01,spring_promo,True,185.29,12050,7585,214
2025-03-01,lookalike_conversions,True,61.95,3590,3072,85
2025-03-01,video_product_launch,True,190.1,17014,8141,155
2025-03-01,flash_sale_burst,True,277.34,17672,8574,294
2025-03-01,niche_interest,True,25.21,1336,1163,28
2025-03-01,broad_prospecting,False,0.0,0,0,0
2025-03-02,brand_always_on,True,341.65,29598,14686,351
2025-03-02,spring_promo,True,155.71,9988,6699,183
2025-03-02,lookalike_conversions,True,58.89,3236,2802,66
2025-03-02,video_product_launch,True,172.2,13889,7314,130
2025-03-02,flash_sale_burst,False,0.0,0,0,0
2025-03-02,niche_interest,True,21.91,1220,1056,24
2025-03-02,broad_prospecting,False,0.0,0,0,0
2025-03-03,brand_always_on,True,475.92,41167,16692,504
2025-03-03,spring_promo,True,157.33,10620,6988,232
2025-03-03,lookalike_conversions,True,61.01,3565,3070,90
2025-03-03,video_product_launch,True,217.01,19549,8536,183
2025-03-03,flash_sale_burst,False,0.0,0,0,0
2025-03-03,niche_interest,True,24.59,1404,1214,30
2025-03-03,broad_prospecting,False,0.0,0,0,0
2025-03-04,brand_always_on,True,462.05,36198,15944,508
2025-03-04,spring_promo,True,147.16,9787,6641,178
2025-03-04,lookalike_conversions,True,73.88,4380,3603,109
2025-03-04,video_product_launch,True,249.9,21041,8775,177
2025-03-04,flash_sale_burst,False,0.0,0,0,0
2025-03-04,niche_interest,True,41.16,2306,1814,53
2025-03-04,broad_prospecting,False,0.0,0,0,0
2025-03-05,brand_always_on,True,487.53,37585,16241,506
2025-03-05,spring_promo,True,152.1,10567,6944,192
2025-03-05,lookalike_conversions,True,94.17,5694,4492,116
2025-03-05,video_product_launch,True,214.94,19409,8549,150
2025-03-05,flash_sale_burst,False,0.0,0,0,0
2025-03-05,niche_interest,True,42.42,2129,1724,46
2025-03-05,broad_prospecting,False,0.0,0,0,0
2025-03-06,brand_always_on,True,432.42,34141,15702,395
2025-03-06,spring_promo,True,114.74,7483,5483,176
2025-03-06,lookalike_conversions,True,88.28,5049,4079,116
2025-03-06,video_product_launch,True,207.38,16594,7990,118
2025-03-06,flash_sale_burst,False,0.0,0,0,0
2025-03-06,niche_interest,True,37.63,2191,1757,43
2025-03-06,broad_prospecting,False,0.0,0,0,0
2025-03-07,brand_always_on,True,374.91,27125,14146,338
2025-03-07,spring_promo,True,100.97,6496,4893,138
2025-03-07,lookalike_conversions,True,112.94,6150,4757,122
2025-03-07,video_product_launch,True,230.86,19828,8712,171
2025-03-07,flash_sale_burst,False,0.0,0,0,0
2025-03-07,niche_interest,True,48.01,2529,1980,63
2025-03-07,broad_prospecting,False,0.0,0,0,0
2025-03-08,brand_always_on,True,323.94,28917,14389,354
2025-03-08,spring_promo,True,65.16,4462,3714,93
2025-03-08,lookalike_conversions,True,123.94,7795,5665,174
2025-03-08,video_product_launch,True,175.44,13541,7358,97
2025-03-08,flash_sale_burst,False,0.0,0,0,0
2025-03-08,niche_interest,True,40.76,2225,1808,45
2025-03-08,broad_prospecting,False,0.0,0,0,0
2025-03-09,brand_always_on,True,343.73,26594,13894,305
2025-03-09,spring_promo,True,91.41,5790,4526,123
2025-03-09,lookalike_conversions,True,119.73,6915,5175,143
2025-03-09,video_product_launch,True,137.57,12434,7039,84
2025-03-09,flash_sale_burst,False,0.0,0,0,0
2025-03-09,niche_interest,True,55.14,2827,2173,59
2025-03-09,broad_prospecting,False,0.0,0,0,0
2025-03-10,brand_always_on,True,286.94,23467,12985,278
2025-03-10,spring_promo,True,93.26,6636,5015,133
2025-03-10,lookalike_conversions,True,179.52,10113,6783,212
2025-03-10,video_product_launch,True,204.47,15763,7794,131
2025-03-10,flash_sale_burst,False,0.0,0,0,0
2025-03-10,niche_interest,True,68.14,3633,2549,87
2025-03-10,broad_prospecting,False,0.0,0,0,0
2025-03-11,brand_always_on,True,374.88,29137,14632,385
2025-03-11,spring_promo,True,102.79,7905,5668,161
2025-03-11,lookalike_conversions,True,211.57,12218,7658,259
2025-03-11,video_product_launch,True,251.36,19749,8677,163
2025-03-11,flash_sale_burst,False,0.0,0,0,0
2025-03-11,niche_interest,True,68.43,3384,2457,87
2025-03-11,broad_prospecting,False,0.0,0,0,0
2025-03-12,brand_always_on,True,279.77,21935,12531,302
2025-03-12,spring_promo,True,84.02,5453,4249,113
2025-03-12,lookalike_conversions,True,230.54,12853,7835,267
2025-03-12,video_product_launch,True,176.35,14753,7548,123
2025-03-12,flash_sale_burst,False,0.0,0,0,0
2025-03-12,niche_interest,True,85.8,4517,2954,109
2025-03-12,broad_prospecting,False,0.0,0,0,0
2025-03-13,brand_always_on,True,262.72,20104,11949,256
2025-03-13,spring_promo,True,107.37,6703,5090,155
2025-03-13,lookalike_conversions,True,175.97,11154,7180,219
2025-03-13,video_product_launch,True,161.43,12626,7004,103
2025-03-13,flash_sale_burst,False,0.0,0,0,0
